ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10849,Wat-a-Biryani,Electronic City,Delivery Only,11:30am – 11:30pm (Mon-Sun)
10850,KafeKombos,HSR,"505/74, 24th B Main Road, 6th Cross, Mariswamy Layout, Agara, 1st Sector, HSR, Bangalore","11:30am – 3pm, 6:30pm – 11pm (Mon-Sun)"
10851,Cutcakes,Kumaraswamy Layout,"30, 1st Main Road, Havish Nilaya, Samruddhi Enclave, Kumaraswamy Layout, Bangalore",9am – 10pm (Mon-Sun)
10852,Punjabi Lassi Shop,BTM,"3, Krishnappa Garden, 1st Stage, BTM Layout, BTM, Bangalore",11am – 12midnight (Mon-Sun)
10853,China Town 07,BTM,"Gokul House 26, 19th Main, 7th Cross, Near Alliance University, NS Palya, 2nd Stage, BTM, Bangalore","10am – 4pm, 7pm – 1am (Mon-Sun)"
10854,Double Blend,BTM,"4/1, 1st Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, BTM, Bangalore",10:30am – 11pm (Mon-Sun)
10855,Family Home Made Food Restaurant,Banashankari,"4th, 11/2, 2nd Stage Kadrenhalli, Banashankari, Bangalore",7am – 11:30pm (Mon-Sun)
10856,Hotel Ranga,Electronic City,"Sri Venugopal Swamy Complex, Near BMTC Bus Deport, Electronic City, Bangalore",11am – 10:30pm (Mon-Sun)
10857,Sri Annapoorneshwari Hotel,Banashankari,"49/2 B, Opposite Sai Baba Temple, Banashankari, Bangalore",11am – 11pm (Mon-Sun)
10858,Hotel Surya,BTM,"58/1D, 1st Cross, Tavarekere Bus Stop, BTM, Bangalore",10:30am – 11pm (Mon-Sun)
10859,Hunger Meals,Bommanahalli,"ARR Almas Tower, Tilak Nagar, Popular Colony, Mangammanapalya, Hosur Road, Bommanahalli, Bangalore","12noon – 3:45pm, 7pm – 10:30pm (Mon-Sun)"
10860,Ultra Biriyani Paradise,Sarjapur Road,"71/1, Kailondrahalli, Opposite Jainheights, Sarjapur Road, Bangalore",11:30am – 11:30pm (Mon-Sun)
10861,Sri Desi Lassi,Kanakapura Road,"Chunchagatta Main Road, New Bank Colony, Konanakunte, Kanakapura Road, Bangalore",10am – 10pm (Mon-Sun)
10862,NN Dum Biryani Center,Banashankari,"748, Subramanyapura Main Road, Kadirenahalli, 2nd Stage, Banashankari, Bangalore",10am – 10pm (Mon-Sun)
10863,Tehzeeb,Bommanahalli,"20, 3rd Cross, Balaji Road, Kadirenahalli, Bommanahalli, Bangalore",5pm – 2am (Mon-Sun)
10864,Balaji Restaurant,Sarjapur Road,"Shop 144, 1st Floor, Green Villa Layout, Near Ayyappa Temple, Junnasandra, Sarjapur Road, Bangalore","12noon – 3:30pm, 7pm – 10pm (Mon-Sun)"
10865,Delhite Food,Electronic City,"42, Agrahara Village, Phase 2, Anekal, Electronic City, Bangalore",9am – 11:30pm (Mon-Sun)
10866,Tasty Jigarthanda,Basavanagudi,"31/9, NCP Towers, 1st Main Road, Hanumantha Nagar, Basavanagudi, Bangalore",12noon – 9pm (Mon-Sun)
